product_id,title,brand,category,subcategory,description,attribute_color,attribute_material,attribute_size,attribute_style,attribute_room,attribute_finish,price,availability,sku,tags,clicks,add_to_cart_count,conversion_rate,popularity_score
CHG-033,Velvet Throw Pillow,Cinder Home,decorative accents,pillows,Soft velvet pillow for sofas beds and reading chairs,emerald,velvet,20 inch,glam,living room,soft,59.00,in_stock,CND-PIL-7101,pillow|velvet|sofa accent|decor,1380,152,0.067,0.82
CHG-034,Market Basket,Cinder Home,storage,baskets,Woven basket for blankets toys or laundry in living spaces,natural,seagrass,large,boho,living room,woven,89.00,in_stock,CND-BSK-8001,basket|woven storage|blankets|seagrass,1430,169,0.075,0.84
CHG-035,Market Basket,Cinder & Home,storage,baskets,,black,seagrass,,,,woven,79.00,in_stock,CNH-BSK-8002,basket|sparse attributes|duplicate title|storage,620,54,0.038,0.52
CHG-036,Stackable Pantry Bin,Table & Pantry,storage,kitchen storage,Clear bin for pantry shelves snacks and dry goods,clear,plastic,medium,utility,kitchen,smooth,18.00,in_stock,TAP-BIN-8003,pantry storage|bin|clear|organization,2020,276,0.089,0.95
CHG-037,Underbed Storage Bag,Rest & Loom,storage,bedroom storage,Fabric underbed bag for seasonal bedding and spare linens,gray,fabric,large,utility,bedroom,zippered,34.00,in_stock,REL-BAG-8004,underbed storage|linens|seasonal|bag,950,101,0.058,0.72
CHG-038,Reed Diffuser Set,Cinder Home,decor,home fragrance,Scented reed diffuser for bathrooms bedrooms and entryways,amber,glass,small,spa,bathroom,clear,42.00,in_stock,CND-DEC-9001,diffuser|home fragrance|spa|decor,780,73,0.052,0.63
CHG-039,Framed Botanical Print,Gallery North,decor,wall art,Botanical wall art print in a slim frame for gallery walls,green,paper and wood,18x24,traditional,living room,framed,69.00,in_stock,GAN-ART-9002,wall art|botanical|print|gallery wall,710,64,0.047,0.6
CHG-040,Brass Candle Holder,Cinder House,decorative accents,candle holders,Single taper candle holder for dining tables mantels and consoles,brass,metal,small,classic,dining room,antique brass,29.00,in_stock,CDH-CAN-9003,candle holder|brass|mantel|table decor,540,43,0.042,0.49
CHG-041,Riverstone Patio Chair,Patio & Hearth,outdoor,patio furniture,Weather resistant lounge chair for patios balconies and poolside spaces,taupe,aluminum and rope,standard,modern,outdoor,powder coated,329.00,in_stock,PAH-CHR-9101,patio chair|outdoor lounge|weather resistant|balcony,1080,121,0.064,0.74
CHG-042,Acacia Patio Dining Table,Patio & Hearth,outdoor,patio tables,Outdoor dining table with umbrella hole and acacia slats,natural,acacia wood,72 inch,classic,outdoor,oiled,699.00,out_of_stock,PAH-TBL-9102,patio table|outdoor dining|acacia|umbrella hole,840,76,0.039,0.61
CHG-043,Outdoor Cushion Set,Patio & Hearth,outdoor,outdoor cushions,Two cushion set for patio chairs with fade resistant fabric,navy,polyester,standard,coastal,outdoor,water resistant,99.00,in_stock,PAH-CUS-9103,outdoor cushion|patio|fade resistant|navy,1180,128,0.066,0.78
CHG-044,Minimal Wall Hooks,Northline Works,hardware,wall hooks,Set of five wall hooks for coats bags and entryway organization,black,metal,5 pack,modern,entryway,matte,45.00,in_stock,NWL-HOK-9201,wall hooks|entryway|coat storage|organization,880,92,0.057,0.67
CHG-045,Floating Shelf Set,Cinder Home,decorative accents,shelves,Pair of floating shelves for photos baskets and small decor,walnut,wood,24 inch,modern,living room,satin,119.00,in_stock,CND-SHF-9202,floating shelves|wall storage|display|decor,1320,147,0.061,0.79
